"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Window","Switch to Editor","Shift+Ctrl+D","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Go to Matching Bracket","Shift+Ctrl+0","Editing Java Source"
"Window","Previous Editor","Shift+Ctrl+Tab","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Search","Search All Occurrences in File","Ctrl+Y","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"File","New","Ctrl+N","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"File","Save","Ctrl+S","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Copy Lines","Shift+Ctrl+Down","Editing Text"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Cut Line","Shift+Ctrl+X","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Edit","Content Assist (Template Proposals)","Shift+Space","In Dialogs and Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"File","Close All","Shift+Ctrl+W","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Git","Commit...","Ctrl+#","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Debug","F11","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
